Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame
Chris Taft,2006,2006,F,6-10,260,"March 10, 1985",University of Pittsburgh,False,False
Sid Tanenbaum,1948,1949,G,6-0,160,"October 8, 1925",New York University,False,False
Dragan Tarlac,2001,2001,C,6-10,260,"May 9, 1973",,False,False
Roy Tarpley,1987,1995,C-F,6-11,230,"November 28, 1964",University of Michigan,False,False
Levern Tart,1968,1971,G-F,6-2,195,"June 1, 1942",Bradley University,False,False
Earl Tatum,1977,1980,G-F,6-5,185,"July 26, 1953",Marquette University,False,False
Walter Tavares,2016,2016,C,7-3,260,"March 22, 1992",,True,False
Anthony Taylor,1989,1989,G,6-4,175,"November 30, 1965",University of Oregon,False,False
Brian Taylor,1973,1982,G,6-2,185,"June 9, 1951",Princeton University,False,False
Donell Taylor,2006,2007,G,6-6,180,"July 26, 1982",University of Alabama at Birmingham,False,False
Fatty Taylor,1970,1977,G,6-0,175,"March 13, 1946",La Salle University,False,False
Fred Taylor,1971,1972,G-F,6-5,180,"February 5, 1948",University of Texas-Pan American,False,False
Jay Taylor,1990,1990,G,6-3,190,"October 3, 1967",Eastern Illinois University,False,False
Jeff Taylor,1983,1987,G,6-4,175,"January 1, 1960",Texas Tech University,False,False
Jeffery Taylor,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt University,True,False
Jermaine Taylor,2010,2011,G,6-4,210,"December 8, 1986",University of Central Florida,True,False
Johnny Taylor,1998,2000,F,6-9,220,"June 4, 1974",University of Tennessee at Chattanooga,False,False
Leonard Taylor,1990,1990,F,6-8,220,"May 2, 1966",University of California,False,False
Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976",University of Michigan,False,False
Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986",Iowa State University,False,False
Oliver Taylor,1971,1974,G-F,6-2,194,"March 7, 1947",University of Houston,False,False
Ronald Taylor,1970,1972,C,7-1,265,"November 21, 1947",University of Southern California,False,False
Tyshawn Taylor,2013,2014,G,6-3,185,"April 12, 1990",University of Kansas,True,False
Vince Taylor,1983,1983,G-F,6-5,180,"September 11, 1960",Duke University,False,False
Terry Teagle,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor University,False,False
Jeff Teague,2010,2016,G,6-2,186,"June 10, 1988",Wake Forest University,True,False
Marquis Teague,2013,2014,G,6-2,189,"February 28, 1993",University of Kentucky,True,False
Mirza Teletovic,2013,2016,F,6-9,242,"September 18, 1985",,True,False
Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",,True,False
Collis Temple,1975,1975,F,6-8,220,"November 8, 1952",Louisiana State University,False,False
Garrett Temple,2010,2016,G,6-6,195,"May 8, 1986",Louisiana State University,True,False
Ira Terrell,1977,1979,F-C,6-8,200,"June 19, 1954",Southern Methodist University,False,False
Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State University,False,False
Chuck Terry,1973,1977,F,6-6,215,"September 27, 1950","California State University, Long Beach",False,False
Claude Terry,1973,1978,G-F,6-4,195,"January 12, 1950",Stanford University,False,False
Jason Terry,2000,2016,G,6-2,185,"September 15, 1977",University of Arizona,True,False
Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",University of Connecticut,False,False
Tom Thacker,1964,1971,G-F,6-2,170,"November 2, 1939",University of Cincinnati,False,False
Floyd Theard,1970,1970,G,6-1,170,"September 5, 1944",Kentucky State University,False,False
Reggie Theus,1979,1991,G,6-7,190,"October 13, 1957","University of Nevada, Las Vegas",False,False
Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's College of California,False,False
Bill Thieben,1957,1958,F-C,6-7,215,"March 28, 1935",Hofstra University,False,False
Justus Thigpen,1970,1974,G,6-1,160,"August 13, 1947",Weber State University,False,False
David Thirdkill,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley University,False,False
Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",University of Memphis,True,False
Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",University of Kansas,False,False
Carl Thomas,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan University,False,False
Charles Thomas,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan University,False,False
Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse University,False,False
Irving Thomas,1991,1991,F,6-8,225,"January 2, 1966",Florida State University,False,False
Isaiah Thomas,2012,2016,G,5-9,185,"February 7, 1989",University of Washington,True,False
Isiah Thomas,1982,1994,G,6-1,180,"April 30, 1961",Indiana University,False,True
Jamel Thomas,2000,2001,F,6-6,215,"March 25, 1973",Providence College,False,False
James Thomas,2005,2006,F,6-8,235,"November 22, 1980",University of Texas at Austin,False,False
Jim Thomas,1984,1991,G,6-3,190,"October 19, 1960",Indiana University,False,False
Joe Thomas,1971,1971,F,6-6,205,"March 9, 1948",Marquette University,False,False
John Thomas,1998,2006,F,6-9,265,"September 8, 1975",University of Minnesota,False,False
Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",University of New Mexico,False,False
Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",Texas Christian University,False,False
Lance Thomas,2012,2016,F,6-8,235,"April 24, 1988",Duke University,True,False
Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988",San Diego State University,True,False
Ronald Thomas,1973,1976,F,6-6,215,"November 19, 1950",University of Louisville,False,False
Terry Thomas,1976,1976,F,6-8,220,"August 20, 1953",University of Detroit Mercy,False,False
Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova University,False,False
Tyrus Thomas,2007,2015,F,6-9,215,"August 17, 1986",Louisiana State University,True,False
Willis Thomas,1968,1968,G,6-2,185,,Tennessee State University,False,False
Trey Thompkins,2012,2012,F,6-10,245,"May 20, 1990",University of Georgia,False,False
Bernard Thompson,1985,1989,F-G,6-6,210,"August 30, 1962","California State University, Fresno",False,False
Billy Thompson,1987,1992,F,6-7,195,"December 1, 1963",University of Louisville,False,False
Brooks Thompson,1995,1998,G,6-4,193,"July 19, 1970",Oklahoma State University,False,False
Corny Thompson,1983,1983,F,6-8,225,"February 5, 1960",University of Connecticut,False,False
David Thompson,1976,1984,G-F,6-4,195,"July 13, 1954",North Carolina State University,False,True
Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983","University of California, Los Angeles",False,False
George Thompson,1970,1975,G,6-2,200,"November 29, 1947",Marquette University,False,False
Hollis Thompson,2014,2016,G-F,6-8,206,"April 3, 1991",Georgetown University,True,False
Jack Thompson,1969,1969,G,6-1,185,"March 26, 1946",University of South Carolina,False,False
Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University,True,False
John Thompson,1965,1966,F,6-10,225,"September 2, 1941",Providence College,False,True
Kevin Thompson,1994,1994,C-F,6-11,260,"February 7, 1971",North Carolina State University,False,False
Klay Thompson,2012,2016,G,6-7,205,"February 8, 1990",Washington State University,True,False
LaSalle Thompson,1983,1997,C-F,6-10,245,"June 23, 1961",University of Texas at Austin,False,False
Mychal Thompson,1979,1991,C-F,6-10,226,"January 30, 1955",University of Minnesota,False,False
Mychel Thompson,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine University,False,False
Paul Thompson,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane University,False,False
Stephen Thompson,1992,1992,G,6-4,185,"December 2, 1968",Syracuse University,False,False
Tristan Thompson,2012,2016,F-C,6-9,238,"March 13, 1991",University of Texas at Austin,True,False
Skip Thoren,1968,1970,C,6-10,230,"April 5, 1943",University of Illinois at Urbana-Champaign,False,False
Rod Thorn,1964,1971,G,6-4,195,"May 23, 1941",West Virginia University,False,False
Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State University,False,False
Bob Thornton,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine",False,False
Dallas Thornton,1969,1970,G,6-4,190,"September 1, 1946",Kentucky Wesleyan College,False,False
Marcus Thornton,2010,2016,G,6-4,205,"June 5, 1987",Louisiana State University,True,False
Otis Thorpe,1985,2001,F-C,6-9,225,"August 5, 1962",Providence College,False,False
Sedale Threatt,1984,1997,G,6-2,175,"September 10, 1961",West Virginia University Institute of Technology,False,False
Nate Thurmond,1964,1977,C-F,6-11,225,"July 25, 1941",Bowling Green State University,False,True
Mel Thurston,1948,1948,G,6-0,175,"January 16, 1919",Canisius College,False,False
Hal Tidrick,1949,1949,F-G,6-1,190,"August 4, 1915",Washington & Jefferson College,False,False
Dan Tieman,1963,1963,G,6-0,185,"November 30, 1940",Thomas More College,False,False
Darren Tillis,1983,1984,C-F,6-11,215,"February 23, 1960",Cleveland State University,False,False
Jack Tingle,1948,1949,F,6-4,205,"December 30, 1924",University of Kentucky,False,False
George Tinsley,1970,1972,F,6-5,205,"September 19, 1946",Kentucky Wesleyan College,False,False
Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State University,False,False
Wayman Tisdale,1986,1997,F-C,6-9,240,"June 9, 1964",University of Oklahoma,False,False
Mike Todorovich,1950,1951,F-C,6-5,220,"June 11, 1923",University of Wyoming,False,False
Ray Tolbert,1982,1989,F,6-9,225,"September 10, 1958",Indiana University,False,False
Tom Tolbert,1989,1995,F-C,6-7,235,"October 16, 1965",University of Arizona,False,False
Anthony Tolliver,2009,2016,F-C,6-8,240,"June 1, 1985",Creighton University,True,False
Dean Tolson,1975,1978,F,6-8,190,"November 25, 1951",University of Arkansas,False,False
Rudy Tomjanovich,1971,1981,F,6-8,218,"November 24, 1948",University of Michigan,False,False
Andrew Toney,1981,1988,G,6-3,178,"November 23, 1957",University of Louisiana at Lafayette,False,False
Sedric Toney,1986,1994,G,6-2,178,"April 13, 1962",University of Dayton,False,False
Andy Tonkovich,1949,1949,G,6-1,185,"November 1, 1922",Marshall University,False,False
Andy Toolson,1991,1996,G-F,6-6,210,"January 19, 1966",Brigham Young University,False,False
Jack Toomay,1948,1950,C-F,6-6,215,"August 9, 1922",University of the Pacific,False,False
Bernard Toone,1980,1980,F,6-9,210,"July 14, 1956",Marquette University,False,False
Irv Torgoff,1947,1949,F,6-2,192,"March 6, 1917",Long Island University,False,False
Gene Tormohlen,1963,1970,C-F,6-8,230,"May 12, 1937",University of Tennessee,False,False
Oscar Torres,2002,2003,F,6-6,210,"December 18, 1976",,False,False
Bill Tosheff,1952,1954,G,6-1,175,"June 2, 1926",Indiana University,False,False
Bob Tough,1949,1950,G-F,6-0,185,"August 28, 1920",St. John's University,False,False
Axel Toupane,2016,2016,G-F,6-7,197,"July 23, 1992",,True,False
Monte Towe,1976,1977,G,5-7,150,"September 27, 1953",North Carolina State University,False,False
Keith Tower,1994,1997,C-F,6-11,250,"May 15, 1970",University of Notre Dame,False,False
Blackie Towery,1949,1950,F-C,6-4,210,"June 20, 1920",Western Kentucky University,False,False
Linton Townes,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University,False,False
Karl-Anthony Towns,2016,2016,C-F,7-0,244,"November 15, 1995",University of Kentucky,True,False
Raymond Townsend,1979,1982,G,6-3,175,"December 20, 1955","University of California, Los Angeles",False,False
George Trapp,1972,1977,F-C,6-8,205,"July 11, 1948","California State University, Long Beach",False,False
John Trapp,1969,1973,F,6-7,210,"October 2, 1945","University of Nevada, Las Vegas",False,False
Robert Traylor,1999,2005,F,6-8,284,"February 1, 1977",University of Michigan,False,False
Gary Trent,1996,2004,F,6-8,250,"September 22, 1974",Ohio University,False,False
Jeff Trepagnier,2002,2004,G,6-4,200,"July 11, 1979",University of Southern California,False,False
John Tresvant,1965,1973,F-C,6-7,215,"November 6, 1939",Seattle University,False,False
Dick Triptow,1949,1950,G-F,6-0,170,"November 3, 1922",DePaul University,False,False
Kelly Tripucka,1982,1991,F-G,6-6,220,"February 16, 1959",University of Notre Dame,False,False
Ansley Truitt,1973,1973,C,6-9,215,"August 24, 1950",University of California,False,False
Cezary Trybanski,2003,2004,C,7-2,240,"September 22, 1979",,False,False
Jake Tsakalidis,2001,2007,C,7-2,285,"June 10, 1979",,False,False
John Tschogl,1973,1975,F,6-6,206,"April 25, 1950","University of California, Santa Barbara",False,False
Lou Tsioropoulos,1957,1959,F,6-5,190,"August 31, 1930",University of Kentucky,False,False
Nikoloz Tskitishvili,2003,2006,F,7-0,225,"April 14, 1983",,True,False
Al Tucker,1968,1972,F,6-8,190,"February 24, 1943",Oklahoma Baptist University,False,False
Alando Tucker,2008,2010,F,6-6,205,"February 11, 1984",University of Wisconsin,False,False
Anthony Tucker,1995,1995,F,6-8,220,"April 4, 1969",Wake Forest University,False,False
Jim Tucker,1955,1957,F,6-7,185,"December 11, 1932",Duquesne University,False,False
P.J. Tucker,2007,2016,F,6-6,245,"May 5, 1985",University of Texas at Austin,True,False
Trent Tucker,1983,1993,G,6-5,193,"December 20, 1959",University of Minnesota,False,False
Ronny Turiaf,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga University,False,False
Mirsad Turkcan,2000,2000,F,6-9,236,"June 7, 1976",,False,False
Hedo Turkoglu,2001,2015,F,6-10,220,"March 19, 1979",,False,False
Andre Turner,1987,1992,G,5-11,160,"December 13, 1964",University of Memphis,False,False
Bill Turner,1968,1973,F,6-7,220,"February 18, 1944",University of Akron,False,False
Elston Turner,1982,1989,G-F,6-5,190,"June 10, 1959",University of Mississippi,False,False
Evan Turner,2011,2016,G,6-7,220,"October 27, 1988",Ohio State University,True,False
Gary Turner,1968,1968,F,6-7,200,,Texas Christian University,False,False
Henry Turner,1990,1995,G-F,6-7,200,"August 18, 1966","California State University, Fullerton",False,False
Herschell Turner,1968,1968,G,6-2,195,"March 29, 1938",University of Nebraska,False,False
Jack Turner,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky University,False,False
Jack Turner,1962,1962,G-F,6-5,200,"June 5, 1939",University of Louisville,False,False
Jeff Turner,1985,1996,F-C,6-9,230,"April 9, 1962",Vanderbilt University,False,False
John Turner,1992,1992,F,6-8,245,"November 30, 1967",Phillips University,False,False
Myles Turner,2016,2016,F-C,6-11,243,"March 24, 1996",University of Texas at Austin,True,False
Wayne Turner,2000,2000,G,6-2,190,"March 22, 1976",University of Kentucky,False,False
Melvin Turpin,1985,1990,C,6-11,240,"December 28, 1960",University of Kentucky,False,False
Dave Twardzik,1973,1980,G,6-1,175,"September 20, 1950",Old Dominion University,False,False
Jack Twyman,1956,1966,F-G,6-6,210,"May 11, 1934",University of Cincinnati,False,True
B.J. Tyler,1995,1995,G,6-1,185,"April 30, 1971",University of Texas at Austin,False,False
Jeremy Tyler,2012,2014,C,6-10,260,"June 21, 1991",,True,False
Terry Tyler,1979,1989,F-G,6-7,215,"October 30, 1956",University of Detroit Mercy,False,False
Charlie Tyra,1958,1962,C-F,6-8,230,"August 16, 1935",University of Louisville,False,False
Edwin Ubiles,2012,2012,G,6-6,204,"November 26, 1986",Siena College,False,False
Ekpe Udoh,2011,2015,F,6-10,240,"May 20, 1987",Baylor University,True,False
Ime Udoka,2004,2011,F,6-6,215,"August 9, 1977",Portland State University,False,False
Beno Udrih,2005,2016,G,6-3,205,"July 5, 1982",,True,False
Roko Ukic,2009,2010,G,6-5,183,"May 12, 1984",,False,False
Wes Unseld,1969,1981,C-F,6-7,245,"March 14, 1946",University of Louisville,False,True
Hal Uplinger,1954,1954,G,6-4,185,"September 30, 1929",Long Island University,False,False
Kelvin Upshaw,1989,1991,G,6-2,180,"January 24, 1963",University of Utah,False,False
Ben Uzoh,2011,2012,G,6-3,205,"March 19, 1988",University of Tulsa,False,False
Stephen Vacendak,1968,1970,G,6-1,185,"August 15, 1944",Duke University,False,False
Jonas Valanciunas,2013,2016,C,7-0,255,"May 6, 1992",,True,False
Darnell Valentine,1982,1991,G,6-1,183,"February 3, 1959",University of Kansas,False,False
Ronnie Valentine,1981,1981,F,6-7,210,"November 27, 1957",Old Dominion University,False,False
John Vallely,1971,1972,G,6-3,185,"October 3, 1948","University of California, Los Angeles",False,False
Dick Van Arsdale,1966,1977,G-F,6-5,210,"February 22, 1943",Indiana University,False,False
Tom Van Arsdale,1966,1977,F-G,6-5,202,"February 22, 1943",Indiana University,False,False
Butch Van Breda Kolff,1947,1950,G-F,6-3,185,"October 28, 1922",New York University,False,False
Jan Van Breda Kolff,1975,1983,F-G,6-7,195,"December 16, 1951",Vanderbilt University,False,False
Nick Van Exel,1994,2006,G,6-1,170,"November 27, 1971",University of Cincinnati,False,False
Keith Van Horn,1998,2006,F,6-10,220,"October 23, 1975",University of Utah,False,False
Norm Van Lier,1970,1979,G,6-1,173,"April 1, 1947",Saint Francis University,False,False
Dennis Van Zant,1976,1976,F,6-9,210,"June 1, 1952",Azusa Pacific University,False,False
Gene Vance,1948,1952,G-F,6-3,195,"February 25, 1923",University of Illinois at Urbana-Champaign,False,False
Logan Vander Velden,1996,1996,F,6-8,215,"April 3, 1971",University of Wisconsin-Green Bay,False,False
Ernie Vandeweghe,1950,1956,F-G,6-3,195,"September 12, 1928",Colgate University,False,False
Kiki Vandeweghe,1981,1993,F,6-8,220,"August 1, 1958","University of California, Los Angeles",False,False
Nick Vanos,1986,1987,C,7-1,255,"April 13, 1963",Santa Clara University,False,False
David Vanterpool,2001,2001,G,6-5,200,"March 31, 1973",St. Bonaventure University,False,False
Ratko Varda,2002,2002,C,7-1,260,"May 6, 1979",,False,False
Anderson Varejao,2005,2016,F-C,6-10,273,"September 28, 1982",,True,False
Jarvis Varnado,2013,2014,F,6-9,230,"March 1, 1988",Mississippi State University,True,False
Greivis Vasquez,2011,2016,G,6-6,217,"January 16, 1987",University of Maryland,True,False
Chico Vaughn,1963,1970,G,6-2,190,"February 19, 1940",Southern Illinois University,False,False
David Vaughn,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts University,False,False
David Vaughn,1996,1999,F,6-9,240,"March 23, 1973",University of Memphis,False,False
Jacque Vaughn,1998,2009,G,6-1,190,"February 11, 1975",University of Kansas,False,False
Rashad Vaughn,2016,2016,G,6-6,202,"August 16, 1996","University of Nevada, Las Vegas",True,False
Virgil Vaughn,1947,1947,F-C,6-4,205,"May 15, 1918",Western Kentucky University,False,False
Loy Vaught,1991,2001,F,6-9,230,"February 27, 1968",University of Michigan,False,False
Bob Verga,1968,1974,G,6-1,190,"September 7, 1945",Duke University,False,False
Pete Verhoeven,1982,1987,F,6-9,215,"February 15, 1959","California State University, Fresno",False,False
Jan Vesely,2012,2014,F,6-11,240,"April 24, 1990",,True,False
Gundars Vetra,1993,1993,F,6-6,195,"May 22, 1967",,False,False
Joao Vianna,1992,1992,F,6-9,215,"November 15, 1966",,False,False
Charlie Villanueva,2006,2016,F,6-11,232,"August 24, 1984",University of Connecticut,True,False
Jay Vincent,1982,1990,F,6-7,220,"June 10, 1959",Michigan State University,False,False
Sam Vincent,1986,1992,G,6-2,185,"May 18, 1963",Michigan State University,False,False
Marcus Vinicius,2007,2008,F,6-8,225,"May 31, 1984",,False,False
Fred Vinson,1995,2000,G,6-4,190,"January 28, 1971",Georgia Institute of Technology,False,False
Claude Virden,1973,1973,F,6-6,195,"November 25, 1947",Murray State University,False,False
Gary Voce,1990,1990,F,6-9,240,"November 24, 1965",University of Notre Dame,False,False
Floyd Volker,1950,1950,F-C,6-4,205,"June 21, 1921",University of Wyoming,False,False
Alexander Volkov,1990,1992,F,6-10,218,"March 28, 1964",,False,False
Whitey Von Nieda,1950,1950,G-F,6-1,170,"June 19, 1922",Pennsylvania State University,False,False
Noah Vonleh,2015,2016,F,6-10,240,"August 24, 1995",Indiana University,True,False
Jake Voskuhl,2001,2009,C,6-11,245,"November 1, 1977",University of Connecticut,False,False
Danny Vranes,1982,1988,F,6-7,210,"October 29, 1958",University of Utah,False,False
Slavko Vranes,2004,2004,C,7-5,275,"January 30, 1983",,False,False
Stojko Vrankovic,1991,1999,C,7-2,260,"January 22, 1964",,False,False
Brett Vroman,1981,1981,C,7-0,220,"December 25, 1955","University of Nevada, Las Vegas",False,False
Jackson Vroman,2005,2006,F-C,6-10,220,"June 6, 1981",Iowa State University,False,False
Nikola Vucevic,2012,2016,C,7-0,260,"October 24, 1990",University of Southern California,True,False
Sasha Vujacic,2005,2016,G,6-7,195,"March 8, 1984",,True,False
Dwyane Wade,2004,2016,G,6-4,220,"January 17, 1982",Marquette University,True,False
Mark Wade,1988,1990,G,5-11,160,"October 15, 1965","University of Nevada, Las Vegas",False,False
Von Wafer,2006,2012,G,6-5,210,"July 21, 1985",Florida State University,False,False
Clint Wager,1950,1950,C-F,6-6,210,"January 20, 1920",Saint Mary's University of Minnesota,False,False
Dajuan Wagner,2003,2007,G,6-2,200,"February 4, 1983",University of Memphis,False,False
Danny Wagner,1950,1950,G,6-0,170,"August 1, 1922",University of Texas at Austin,False,False
Milt Wagner,1988,1991,G,6-5,185,"February 20, 1963",University of Louisville,False,False
Phillip Wagner,1969,1969,G,6-2,190,"December 18, 1945",Georgia Institute of Technology,False,False
Dion Waiters,2013,2016,G,6-4,225,"December 10, 1991",Syracuse University,True,False
Granville Waiters,1984,1988,C,6-11,225,"January 8, 1961",Ohio State University,False,False
Andre Wakefield,1979,1980,G,6-3,175,"January 11, 1955",Loyola University of Chicago,False,False
Neal Walk,1970,1977,C,6-10,220,"July 29, 1948",University of Florida,False,False
Andy Walker,1977,1977,G,6-4,190,"March 25, 1955",Niagara University,False,False
Antoine Walker,1997,2008,F,6-8,224,"August 12, 1976",University of Kentucky,False,False
Brady Walker,1949,1952,F-C,6-6,205,"March 15, 1921",Brigham Young University,False,False
Chet Walker,1963,1975,F-G,6-6,212,"February 22, 1940",Bradley University,False,True
Darrell Walker,1984,1993,G,6-4,180,"March 9, 1961",University of Arkansas,False,False
Foots Walker,1975,1984,G,6-0,184,"May 21, 1951",State University of West Georgia,False,False
Henry Walker,2009,2015,F,6-6,220,"October 9, 1987",Kansas State University,True,False
Horace Walker,1962,1962,F,6-3,210,"April 17, 1937",Michigan State University,False,False
Jimmy Walker,1968,1976,G,6-3,195,"April 8, 1944",Providence College,False,False
Kemba Walker,2012,2016,G,6-1,172,"May 8, 1990",University of Connecticut,True,False
Kenny Walker,1987,1995,F,6-8,210,"August 18, 1964",University of Kentucky,False,False
Phil Walker,1978,1978,G,6-3,180,"March 20, 1956",Millersville University of Pennsylvania,False,False
Samaki Walker,1997,2006,F,6-9,240,"February 25, 1976",University of Louisville,False,False
Wally Walker,1977,1984,F,6-7,190,"July 18, 1954",University of Virginia,False,False
John Wall,2011,2016,G,6-4,195,"September 6, 1990",University of Kentucky,True,False
Ben Wallace,1997,2012,F-C,6-9,240,"September 10, 1974",Virginia Union University,False,False
Gerald Wallace,2002,2015,F,6-7,215,"July 23, 1982",University of Alabama,False,False
John Wallace,1997,2004,F,6-8,225,"February 9, 1974",Syracuse University,False,False
Rasheed Wallace,1996,2013,F-C,6-10,225,"September 17, 1974",University of North Carolina,False,False
Red Wallace,1947,1947,G,6-1,185,"July 12, 1918",University of Scranton,False,False
Dwight Waller,1969,1972,F,6-6,220,"October 5, 1945",Tennessee State University,False,False
Jamie Waller,1988,1988,G,6-4,215,"November 20, 1964",Virginia Union University,False,False
Jim Walsh,1958,1958,F,6-4,195,"August 29, 1930",Stanford University,False,False
Matt Walsh,2006,2006,G-F,6-6,205,"December 2, 1982",University of Florida,False,False
Rex Walters,1994,2000,G,6-4,190,"March 12, 1970",University of Kansas,False,False
Paul Walther,1950,1955,G-F,6-2,160,"March 23, 1927",University of Tennessee,False,False
Isaac Walthour,1954,1954,G,5-11,163,"August 25, 1930",,False,False
Bill Walton,1975,1987,C-F,6-11,210,"November 5, 1952","University of California, Los Angeles",False,True
Lloyd Walton,1977,1981,G,6-0,160,"November 23, 1953",Marquette University,False,False
Luke Walton,2004,2013,F,6-8,235,"March 28, 1980",University of Arizona,False,False
Bobby Wanzer,1949,1957,G,6-0,170,"June 4, 1921",Seton Hall University,False,True
Perry Warbington,1975,1975,G,6-2,165,"September 7, 1952",Georgia Southern University,False,False
Charlie Ward,1995,2005,G,6-2,190,"October 12, 1970",Florida State University,False,False
Gerry Ward,1964,1967,G,6-4,195,"September 6, 1941",Boston College,False,False
Henry Ward,1976,1977,G-F,6-4,195,"January 30, 1952",Jackson State University,False,False
Casper Ware,2014,2014,G,5-10,175,"January 17, 1990","California State University, Long Beach",True,False
Jim Ware,1967,1969,F,6-7,210,"May 2, 1944",Oklahoma City University,False,False
Ben Warley,1963,1970,F-G,6-5,200,"September 4, 1936",Tennessee State University,False,False
Bob Warlick,1966,1970,G-F,6-5,200,"March 20, 1941",Pepperdine University,False,False
Cornell Warner,1971,1977,F-C,6-9,220,"August 12, 1948",Jackson State University,False,False
Bob Warren,1969,1976,G,6-5,190,"July 17, 1946",Vanderbilt University,False,False
John Warren,1970,1974,G-F,6-3,180,"July 7, 1947",St. John's University,False,False
T.J. Warren,2015,2016,F,6-8,230,"September 5, 1993",North Carolina State University,True,False
Willie Warren,2011,2011,G,6-4,203,"October 22, 1989",University of Oklahoma,False,False
Bryan Warrick,1983,1986,G,6-5,195,"July 22, 1959",Saint Joseph's University,False,False
Hakim Warrick,2006,2013,F,6-9,219,"July 8, 1982",Syracuse University,False,False
Chris Washburn,1987,1988,C,6-11,225,"May 13, 1965",North Carolina State University,False,False
Bobby Washington,1970,1972,G,5-11,175,"July 11, 1947",Eastern Kentucky University,False,False
Darius Washington,2008,2008,G,6-2,195,"December 6, 1985",University of Memphis,False,False
Donald Washington,1975,1976,F,6-8,210,"April 22, 1952",University of North Carolina,False,False
Duane Washington,1988,1993,G,6-4,195,"August 31, 1964",Middle Tennessee State University,False,False
Eric Washington,1998,1999,G,6-4,190,"March 23, 1974",University of Alabama,False,False
Jim Washington,1966,1976,F-C,6-6,210,"July 1, 1943",Villanova University,False,False
Kermit Washington,1974,1988,F-C,6-8,230,"September 17, 1951",American University,False,False
Pearl Washington,1987,1989,G,6-2,190,"January 6, 1964",Syracuse University,False,False
Richard Washington,1977,1982,F-C,6-11,220,"July 15, 1955","University of California, Los Angeles",False,False
Stan Washington,1975,1975,G,6-4,190,"January 23, 1952",University of San Diego,False,False
Trooper Washington,1968,1973,F-C,6-7,215,"April 21, 1944",Cheyney University of Pennsylvania,False,False
Wilson Washington,1978,1979,F-C,6-9,227,"August 3, 1955",Old Dominion University,False,False
Darryl Watkins,2008,2012,C,6-11,258,"November 8, 1984",Syracuse University,False,False
Bobby Watson,1955,1955,G,6-0,160,"March 22, 1930",University of Kentucky,False,False
C.J. Watson,2008,2016,G,6-2,175,"April 17, 1984",University of Tennessee,True,False
Earl Watson,2002,2014,G,6-1,195,"June 12, 1979","University of California, Los Angeles",False,False
Jamie Watson,1995,1999,F,6-7,190,"February 23, 1972",University of South Carolina,False,False
Ron Watts,1966,1967,F,6-6,210,"May 21, 1943",Wake Forest University,False,False
Samuel Watts,1971,1971,G,6-3,185,"March 14, 1948",Florida Agricultural and Mechanical University,False,False
Slick Watts,1974,1979,G,6-1,175,"July 22, 1951",Xavier University of Louisiana,False,False
Maalik Wayns,2013,2014,G,6-2,200,"May 2, 1991",Villanova University,True,False
David Wear,2015,2015,F,6-10,230,"September 21, 1990","University of California, Los Angeles",True,False
Travis Wear,2015,2015,F,6-10,230,"September 21, 1990","University of California, Los Angeles",True,False
Clarence Weatherspoon,1993,2005,F,6-6,240,"September 8, 1970",University of Southern Mississippi,False,False
Nick Weatherspoon,1974,1980,F,6-7,195,"July 20, 1950",University of Illinois at Urbana-Champaign,False,False
Kyle Weaver,2009,2011,G,6-6,201,"February 18, 1986",Washington State University,False,False
Jeff Webb,1971,1972,G,6-4,170,"July 6, 1948",Kansas State University,False,False
Marcus Webb,1993,1993,F-C,6-9,255,"May 9, 1970",University of Alabama,False,False
Spud Webb,1986,1998,G,5-6,133,"July 13, 1963",North Carolina State University,False,False
